Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
11738,19131120,Vineland Growers Co-Operative Limited,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>",4150,Jordan Road,"<abbr title=""not available"">N/A</abbr>",Jordan Station,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L0R 1S0 
11759,19131127,Guelph Campus Co-Operative,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",17,College Avenue West,"<abbr title=""not available"">N/A</abbr>",Guelph,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N1G 1R7 
13829,19160608,The Pelee Island Co-Operative Association,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Post Office"">P.O.</abbr> Box 51",Pelee Island,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0R 1T0 
16266,19190507,Vermilion Bay Co-Operative Limited,Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",84,"Spruce <abbr title=""Street"">St</abbr>","<abbr title=""Post Office"">P.O.</abbr> Box 100",Vermilion Bay,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0V 2V0 
23438,19240407,Wanstead Farmers Co-Operative Co Limited,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",5322,Wanstead Road,"<abbr title=""not available"">N/A</abbr>",Wyoming,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0N 1T0 
26125,19260511,Clarkson-Dixie Fruit Growers Co-Operative Limited,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>",230,Lakeshore Road East,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5G 1G6 
30876,19290211,"The First Co-operative Packers of Ontario, Limited","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Badjeros,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0C 1A0
34909,19310415,Prince Edward County Fruit Growers Co-Operative Limited,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Main Street West,"<abbr title=""Post Office"">P.O.</abbr> Box 480",Picton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0K 2T0 
42687,19361219,The Finnish Community Halls Co-Operative Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",128,Queen Avenue,"<abbr title=""not available"">N/A</abbr>",Timmins,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P4N 4L6 
45704,19390602,"La Fromagerie Cooperative St-Albert <abbr title=""Incorporated"">Inc.</abbr> Et St-Albert Cheese Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",150,"<abbr title=""Saint"">St.</abbr> Paul Street","<abbr title=""not available"">N/A</abbr>",St-Albert,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 3C0 
46015,19391012,Pine River Cheese And Butter Co-Operative,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #4",Ripley,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0G 2R0 
46145,19391218,Campus Co-Operative Residence Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",395,Huron Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5S 2G5 
47171,19410517,Science �44 Co-Operative Incorporated,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",397,Brock Street,"<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7M 5X5 
48509,19430519,"Co-Operative Agricole De <abbr title=""Saint"">St</abbr> Eugene Limited",Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",1161,Rue Labrosse,"<abbr title=""case postale""lang=""fr"">C&nbsp;P</abbr> 68",St Eugene,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0B 1P0 
48760,19431005,Stouffville Co-Operative Association,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",47,Edward Street,"<abbr title=""Post Office"">P.O.</abbr> Box 130",Stouffville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4A 7Z4 
49219,19440417,La Cooperative Agricole D�Embrun Limitee,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",926,Notre Dame,"<abbr title=""Post Office"">P.O.</abbr> Box 189",Embrun,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 1W0 
49330,19440509,"North Wellington Co-Operative Services <abbr title=""Incorporated"">Inc.</abbr>",Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",56,Margaret Street,"<abbr title=""not available"">N/A</abbr>",Harriston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0G 1Z0 
49751,19440914,Manitoulin Live Stock Co-Operative,Farming and Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",44,Meredith Street,"<abbr title=""not available"">N/A</abbr>",Gore Bay,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0P 1H0 
49898,19441023,Lucknow District Co-Operative Incorporated,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",86387,Lucknow Line,"<abbr title=""not available"">N/A</abbr>",Lucknow,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0G 2H0 
50167,19450108,Bradford Co-Operative Storage Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",61,Bridge Street,"<abbr title=""not available"">N/A</abbr>",Bradford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3Z 2B1 
52072,19451227,Algoma Co-Operative Transport Company Limited,Milk Transport Co-operatives,"<abbr title=""not available"">N/A</abbr>",15,Lake Huron Drive,"<abbr title=""Post Office"">P.O.</abbr> Box 42",Desbarats,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0R 1E0 
53386,19460703,The Grenville Park Co-Operative Housing Association Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",4,"Westview <abbr title=""Road"">Rd</abbr>","<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7M 2C3
54209,19461120,Waupoos Cottage Co-Operative,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",3,Rideau Street,"<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7K 2Z5 
