business_number,business_type,charity_name,corporate_name,charity_bn_full,business_bn_full,charity_status,charity_type,charity_city,charity_province,corporation_number
744516345,Federal Non-Profit,14628772 Canada Association,14628772 Canada Association,744516345RR0001,744516345RC0001,Registered,Charity,KITCHENER,ON,1462877-2
118898600,Federal Non-Profit,e3 Ministry Canada,e3 Ministry Canada,118898600RR0001,118898600RC0001,Registered,Charity,KITCHENER,ON,122012-8
702505900,Federal Non-Profit,Church 519,CHURCH 519,702505900RR0001,702505900RC0001,Registered,Charity,KITCHENER,ON,1438209-9
769254095,Federal Non-Profit,Kingdom Worthy Ministries - KW Church of God 7th Day,Kingdom Worthy Ministries - KW Church of God 7th Day,769254095RR0001,769254095RC0001,Registered,Charity,KITCHENER,ON,975020-7
784763302,Federal Non-Profit,A Better Tent City Waterloo Region,A Better Tent City Waterloo Region,784763302RR0001,784763302RC0001,Registered,Charity,KITCHENER,ON,1323479-7
852411446,Federal Non-Profit,ABRAZOS CANADA,ABRAZOS CANADA,852411446RR0001,852411446RC0001,Registered,Charity,KITCHENER,ON,830764-4
813183696,Federal Non-Profit,True North Aid,True North Aid,813183696RR0001,813183696RC0001,Registered,Charity,KITCHENER,ON,451182-4
738624410,Federal Non-Profit,Colleen Cares AIM Foundation,Colleen Cares AIM Foundation,738624410RR0001,738624410RC0001,Registered,Charity,KITCHENER,ON,1521036-4
790942874,Federal Non-Profit,Al Zahra Shia Association of Waterloo Region,Al Zahra Shia Association of Waterloo Region,790942874RR0001,790942874RC0001,Registered,Charity,KITCHENER,ON,1143919-7
733132559,Federal Non-Profit,Al-Hayaat School,Al-Hayaat School,733132559RR0001,733132559RC0001,Registered,Charity,KITCHENER,ON,1608611-0
727962706,Federal Non-Profit,Alliance for CancerCare Equity,Alliance for CancerCare Equity,727962706RR0001,727962706RC0001,Registered,Charity,KITCHENER,ON,1402411-7
768917544,Federal Non-Profit,Anchored On Christ Ministries International,ANCHORED ON CHRIST Ministries International,768917544RR0002,768917544RC0001,Registered,Charity,KITCHENER,ON,1287873-9
867211187,Federal Non-Profit,MALEKKHANU AND SHERALI FAZAL VISRAM MEMORIAL FOUNDATION,MALEKKHANU AND SHERALI FAZAL VISRAM MEMORIAL FOUNDATION,867211187RR0001,867211187RC0001,Registered,Charity,KITCHENER,ON,369455-1
888491115,Federal Non-Profit,ANISHNABEG OUTREACH EMPLOYMENT AND TRAINING INC.,ANISHNABEG OUTREACH EMPLOYMENT AND TRAINING INC.,888491115RR0001,888491115RC0001,Registered,Charity,KITCHENER,ON,388107-5
861228849,Federal Non-Profit,BUSINESS AND EDUCATION PARTNERSHIP OF WATERLOO REGION,Business and Education Partnership of Waterloo Region,861228849RR0001,861228849RC0001,Registered,Charity,KITCHENER,ON,410497-8
830289294,Federal Non-Profit,Camp Micah: Leadership for Peace and Justice,CAMP MICAH: LEADERSHIP FOR PEACE AND JUSTICE,830289294RR0001,830289294RC0001,Registered,Charity,KITCHENER,ON,449830-5
888175668,Federal Non-Profit,Children of Hope and Promise Canada,CHILDREN OF HOPE AND PROMISE CANADA,888175668RR0001,888175668RC0001,Registered,Charity,KITCHENER,ON,282945-2
723104915,Federal Non-Profit,Len and Helen Georgiou Foundation,Len and Helen Georgiou Foundation,723104915RR0001,723104915RC0001,Registered,Charity,KITCHENER,ON,1111423-9
