Corporate Name,Corporation Number,Business Number
Sussex Agricultural Co-operative 1841 Ltd.,1570592-4,105096861RC0001
NGMF Toronto Project 2 Co-Op,1570703-0,797565025RC0001
6996 Carbon Offset Aggregation Cooperative,812608-9,810399287RC0001
FIRST STEP-AF.A. Financial COOP.,764601-1,837753805RC0001
SOCIÉTÉ COOPÉRATIVE DE TRAVAILLEURS AGRICOLE BATALIMON À BUT NON LUCRATIF,1601536-1,786916767RC0001
A Global Peace Endeavor Cooperative,1601602-2,772420626RC0001
ABCLife united Association,751018-7,703955682
COMMUNITY ADVISORY + ACTION WORKER CO-OP,1601520-4,784996027RC0001
Omnia Adjusters Cooperative,755713-2,747802494RC0001
Coopérative Aequitas Essences Corp.,822546-0,839853538RC0001
Coopérative de Solidarité Les Affranchis,1675416-3,722439221RC0001
Afripride Women Co-op,1570821-4,749594156RC0001
Marché International Canada-Afrique Coop,1372782-3,739798809RC0001
The Agency for Co-operative Housing -,425190-3,855215679RC0001
Eabametoong Agricultural Co-Operative,1161221-2,762098671RC0001
Neskantaga Agricultural Co-Operative,1161226-3,761567734RC0001
Nibinamik Agricultural Co-Operative,1161230-1,762097673RC0001
Webequie Agricultural Co-Operative,1161234-4,762097871RC0001
AGRIFOODS INTERNATIONAL COOPERATIVE LTD.,433247-4,895746840RC0002
AGROPUR COOPERATIVE,382700-3,100086263RC0001
The Atlantic Immigrant Retention Cooperative/Coopérative de rétention des immigrants de l'Atlantique (AIRCO-CORIA),1502999-6,Not Available
Al Ehsaan Residential Cooperative,1340585-1,749498408RC0001
Coopérative Aliments Farmhouse Food Cooperative INC.,1187255-9,734662471RC0001
ALL NATIONS MULTI-PURPOSE COOPERATIVE,751317-8,Not Available
Métis Alliance of Canada Cooperative,1182026-5,748895539RC0001
Allied Community & Cooperative Shared Services,1334702-8,749183901RC0001
AN-NUR Co-operative Corporation Ltd.,412256-9,862845427RC0001
Co-operatives and Mutuals Canada,855184-7,827059239RC0001
WOSODEV UNITED (WORLD SOLIDARITY AND DEVELOPMENT),1150954-3,770755734
Web and Flow Worker Cooperative,1473373-8,758779011RC0001
Coop Ankhba Santé et loisirs,1675728-6,771827565RC0001
Coopérative Apex,1601946-3,792322364RC0001
ARCTIC CO-OPERATIVE DEVELOPMENT FUND,204262-2,103961439RC0001
CANADIAN JEWELLERY GROUP CO-OPERATIVE ASSOCIATION,164696-6,124088659RC0001
Canadian Credit Union Association Cooperative,873506-9,799451497RC0001
ATLANTIC CO-OPERATIVE PUBLISHERS LIMITED,012839-2,100324094RC0001
ATLANTIC CO-OPERATIVE COUNTRY STORES,381368-1,864329560RC0001
Atlantic Retail Co-Operatives Federation,446558-0,101136299RC0002
Knowledge Atlas Co-op Inc.,784631-2,801018607RC0001
Coop-Électro SOMAC ( Coop-Électronic De Société Des Maliens Au Canada),1570825-7,745572552RC0001
Coopérative de travailleurs La Baigneuse,1340660-1,751647702RC0001
Baker Tilly Canada Cooperative,416311-7,885311704RC0001
BANGLADESHI-CANADIAN COOPERATIVE (BCC) INC.,410521-4,861127843RC0001
LA PARENTE: RESTAURANT-BAR COOP,063941-9,Not Available
Barakah Green Cooperative Inc.,1187313-0,721397677RC0001
Fietser Bikeshare Cooperative,1443932-5,742886740RC0001
BISMILLAH COOPERATIVE,751020-9,706471919
BWPW - Black Women Professional Worker Co-op,1298461-0,773323100RC0001
BLUE FIN COOPERATIVE GROUP,1425669-7,769873019
"""COOPERATIVE DES PRODUCTEURS DE SIROP D'ERABLE DU NOUVEAU BRUNSWICK INC.""",238106-1,122461023RC0001
Buffomilk dairy co-op,1125239-9,795498872
Cooperative familiale d'habitation sans but lucratif Grand Maman Louise,750556-6,Not Available
Coopérative internationale de contacts et de connexions (C.I.C.CO),1150944-6,765616933
Coopérative de câblodistribution Hill Valley,1179454-0,747302677RC0001
UNITED CHICKEN CANADA COOPERATIVE INC.,383082-9,891011611RC0001
