Corporate Name,Corporation Number,Business Number
NGMF Toronto Project 2 Co-Op,1570703-0,797565025RC0001
ABCLife united Association,751018-7,703955682
Coopérative Aequitas Essences Corp.,822546-0,839853538RC0001
The Agency for Co-operative Housing -,425190-3,855215679RC0001
Eabametoong Agricultural Co-Operative,1161221-2,762098671RC0001
Neskantaga Agricultural Co-Operative,1161226-3,761567734RC0001
Nibinamik Agricultural Co-Operative,1161230-1,762097673RC0001
Webequie Agricultural Co-Operative,1161234-4,762097871RC0001
ALL NATIONS MULTI-PURPOSE COOPERATIVE,751317-8,Not Available
AN-NUR Co-operative Corporation Ltd.,412256-9,862845427RC0001
Co-operatives and Mutuals Canada,855184-7,827059239RC0001
WOSODEV UNITED (WORLD SOLIDARITY AND DEVELOPMENT),1150954-3,770755734
Web and Flow Worker Cooperative,1473373-8,758779011RC0001
Canadian Credit Union Association Cooperative,873506-9,799451497RC0001
Coop-Électro SOMAC ( Coop-Électronic De Société Des Maliens Au Canada),1570825-7,745572552RC0001
Baker Tilly Canada Cooperative,416311-7,885311704RC0001
Barakah Green Cooperative Inc.,1187313-0,721397677RC0001
BWPW - Black Women Professional Worker Co-op,1298461-0,773323100RC0001
Cooperative familiale d'habitation sans but lucratif Grand Maman Louise,750556-6,Not Available
Coopérative internationale de contacts et de connexions (C.I.C.CO),1150944-6,765616933
Fairbnb Canada Worker Co-operative,1463201-0,734339542
Lichen Community Systems Worker Cooperative Canada,1644626-4,723332755RC0001
Co-operative Housing Federation of Canada -,328683-5,887473148RC0001
"CANADIAN CO-OPERATIVE WOOL GROWERS, LIMITED",010481-7,121388045RC0001
Canadian Music Educators Cooperative,431409-3,829998541RC0001
Canadian Owner-Operators' Cooperative,283639-4,133445908RC0001
Canadian Music Retailers Cooperative,767224-1,839393808RC0001
Federation of Canadian Carsharing Co-operatives,793687-7,842148082RC0001
Fonds canadien d'investissement coopératif,751767-0,766146328RC0001
FIRST FILIPINO CAREGIVERS COOPERATIVE,452506-0,853674265RC0001
Coop de Travail Carpe Diem,400962-2,856104732RC0001
Centre Éducatif et Communautaire Coop Franco-Ontarien,755715-9,Not Available
Civica Communications Worker Co-operative Inc.,442610-0,848740957RC0001
The Co-operators Group Limited,093171-3,105205371RC0001
MODERN SALES CO-OP,391978-1,864820022RC0001
Indigenous Co-operative on the Environment Inc.,429004-6,863262291RC0001
LILY HERCHMER CO-OPERATIVE INC.,443660-1,846770352RC0001
CoopZone Developers' Network Co-operative,452676-7,853673861RC0001
The Community Housing Management Network Co-operative,454204-5,834262065RC0001
Co-operative La Samaritaine,454780-2,825229461RC0001
Community Share Ventures Co-operative (CSVC),854863-3,Not Available
PEOPLE'S EDUCATION NETWORK (Co-op) Ltd.,897283-4,Not Available
Patient Critical Co-op,750553-1,Not Available
NextGen Muslim Fulfilment Co-Operative,750561-2,705486488
Local Driver Federation Co-operative,1161325-1,799289301RC0001
Kafan Co-op,1171027-3,760000679RC0001
Direct Co-operative,1272073-6,791676208RC0001
Neurodivergent Futures Co-op,1548345-0,707128013RC0001
Whole Women Network Worker Co-op,1570656-4,762846558RC0001
Uganda Non-Profit Housing Co-operative,1601513-1,783154222RC0001
WISDOMINDS CO-OPERATIVE INC.,1640637-8,744994427RC0001
Malayalee Farmers Co-operative Ltd.,1675830-4,791734437RC0001
New Feeling Co-op,1716660-5,731224762RC0001
COOP DE TRAVAIL DE L'ENSEIGNEMENT DES LANGUES (COOPTEL),897260-5,809451792RC0001
Coopérative Radio Ville-Marie Outaouais,375040-0,866775042RC0001
UNITED RETAIL DISTRIBUTORS COOPERATIVE INC.,410015-8,864242482RC0001
DUNGA COOPERATIVE INC.,417774-6,878368703RC0001
Facilitating Inclusion Cooperative Inc.,446938-1,813369212RC0001
LocalTown National Cooperative Inc.,452375-0,858915655RC0001
Coopérative de services partagés des RDÉE,897175-7,742475304RC0001
ENT NATIONAL COOPERATIVE INCORPORATED,897192-7,717753925RC0001
COOPERATIVE LUGHAYA SEAFOOD,897259-1,Not Available
Ontario Wanderers League Cooperative,750560-4,729520478RC0001
People Power Forward Cooperative,1161297-2,762027142RC0001
PCIF DEVELOPMENT COOPERATIVE INC.,1161354-5,769624065RC0001
York Non-Profit Housing Society Cooperative,1298495-4,790972103RC0001
Damage Studios Cooperative,1307343-2,767922305RC0001
SAUGEEN SHORES TELECOM COOPERATIVE LTD.,1473386-0,793744954RC0001
Ferme coopérative Roots,1570795-1,701134611RC0001
Solidarity In Numbers Cooperative,1570900-8,786558429RC0001
MOJA UPENDO - ONE LOVE NON PROFIT HOUSING COOPERATIVE INC.,1636786-1,746182823RC0001
Terraforged Cooperative,1716603-6,771403433RC0001
The Grand River Investment Rosca Cooperative,1716611-7,766533434RC0001
Éconocoop,1187290-7,714559937RC0001
Pallada United,822835-3,Not Available
