Corporate Name,Corporation Number,Business Number
0 Barriers Foundation,1186888-8,749949871RC0001
0x Society,1297312-0,761765346RC0001
Zer0 Doubt,1483310-4,766717813
r0g_agency for open culture and critical transformation canada inc.,1553488-7,714146818RC0001
C0nsultAction Canada Inc.,1707752-1,790399638RC0001
Expedition 0,1715333-3,777238635RC0001
C0wsec Information Security Association,1720253-9,780255436RC0001
0Dial Communications Foundation,1734830-4,732511969RC0001
01Tree Network,1303452-6,798018602RC0001
021 Entrepreneurs Group,1243083-5,705499135RC0001
LONDON027 Community,1505927-5,712150549RC0001
MTL 03010 Services (2007) Inc.,440599-4,826362964RC0001
"Communauté 035 peuple Weskarinis de la petite nation de l,alliance otoctonne du Québec",842921-9,843996570RC0001
Cafe059 Inc.,1706297-4,791363039RC0001
Pilar Lodge #08,1504236-4,751328410RC0001
Breakthrough T1D Canada,047405-3,118976604RC0001
The 1st Hussars Cavalry Fund,389332-4,874784812RC0001
Alpha-1 Antitrypsin Deficiency Canada Inc.,432042-5,822647871RC0001
2 Equal 1 Canada Inc.,443445-5,851441154RC0001
Mission 1 World,447829-1,857468623RC0001
T1 Diabetes Think Tank Network Inc.,876627-4,829491570RC0001
(1)NE: charity,882055-4,812228633RC0001
1st NAEF,912409-8,819730185RC0001
1st Humanity Fellowship,942493-8,805912763RC0001
1HEART HEALING ARTS,957622-3,789443892RC0001
Page1 Theatre,1030383-6,706789096RC0001
1JustCity Inc.,1032908-8,703429092RC0001
3rd & 1 Football Inc.,1059025-8,774776280RC0001
1 Resource Services Corporation,1088167-8,741454086RC0001
1MT Cares,1110865-4,723562716RC0001
T1D Kids Camps,1172177-1,762330934RC0001
WEARENO1,1214083-7,728201138RC0001
Resilience 2:1,1222993-5,721066876RC0001
Care4ASH1L,1283737-4,770690261RC0001
Humanity NO 1,1288305-8,767340060RC0001
1st Ottawa BPSA - ahlulbayt scouting association,1297425-8,761725944RC0001
1Yard,1310062-6,793895301RC0001
Rivertowne Safety 1st,1380553-1,744773201RC0001
Rodeo1,1381629-0,742523806RC0001
BMIUC LOCAL 1 HOLDING CORPORATION,1385594-5,742156508RC0001
1unchained Inc,1394757-2,733724108RC0001
1F One Family Organization,1404391-0,726673908RC0001
Tier 1 Sports Club Canada,1410991-1,721689701RC0001
Usher 1F Collaborative Canada,1418237-5,716947502RC0001
1 UMMAH ORPHANS,1484837-3,727727547
Fondation pour la santé mentale des hommes Back to Square 1 Men's Mental Health Foundation,1507315-4,748996014RC0001
Cure SMC1A Foundation,1531808-4,730615614RC0001
The 1Movement Foundation,1539640-9,786924357RC0001
W1derus Foundation,1546957-1,719007619RC0001
1UMMAH EDUCATION AND RESOURCE CENTER,1553705-3,714075611RC0001
THE LORD'S CHOSEN CHARISTMATIC RENEWAL MINISTRIES. POWER AS OF OLD 1.,1574530-6,760177956RC0001
Dignity 1st Inc,1593803-1,744988759RC0001
1s1 Deaf-Led Theatre Inc.,1618032-9,708483557RC0001
Ésaïe 55-1,1641832-5,707038956RC0001
Inclusive GTHA (No. 1) Not For Profit,1680646-5,713205227RC0001
1-R32 Foundation,1008784-0,731148292RC0001
GENERATION 1 LEADERSHIP INITIATIVE,1017510-2,720333129RC0001
FD1,1200981-1,737595538RC0001
1st Class Innovative Childcare Solutions,1364839-7,756469409RC0001
Section 1,1523371-2,736845017RC0001
A1 Lighthouse for adults living with Autism Center,1686012-5,708411228RC0001
GS1 Canada,334495-9,890373764RC0001
Onco1 Med Spa Clinic,1694263-6,700773427RC0001
Centre d’Accélération et d’Accompagnement numérique - AN1,1699715-5,759925365RC0001
Royal Canadian #1 Cricket Club,1707560-0,754149367RC0001
International Society for Krishna Consciousness (ISKCON Zone 1 - The North),1710951-2,751273566RC0001
1KALAMEH CORP.,1712875-4,785778036RC0001
10 Gates Dancing Inc.,349359-8,869214486RC0001
Treaty No. 10 Gathering,1000397-2,740536891RC0001
10:27 Apartment Neighbours,1141910-2,793072471RC0001
10 Million Squares Inc.,1203121-3,736522475RC0001
10Academy Canada Foundation,1614051-3,728636754RC0001
Association des 10 quilles pour jeunes de Tracadie-Sheila,1016443-7,722239696RC0001
Fire10 Entertainment,1357826-7,761677103RC0001
10TH WORLD CONGRESS OF BIOMECHANICS (WCB 2026),1702342-1,757880166RC0001
MY 100 PERCENT,873862-9,814420238RC0001
100 STRONG FOUNDATION,880022-7,815979034RC0001
100 Smiles Project,897715-1,801247974RC0001
ONTARIO GLOBAL 100,912901-4,810719997RC0001
100 SEEDS ATLANTIC,1045862-7,789014883
Genius 100 Foundation,1117571-8,717407514RC0001
100 Gates Foundation,1131226-0,886837996RC0001
100 NOTEBOOK PROJECT,1158430-8,774556336RC0001
100 Mile Arts Network,1273804-0,780069944RC0001
Commission of Marking the 100th Anniversary of Chinese Exclusion Act,1498407-2,755495215RC0001
100 Women Who Care Kirkland Lake and Area,1534743-2,728266610RC0001
Resilient 100,1011623-8,726991128RC0001
100 Black Men,1201541-2,737235135RC0001
The Historic 1000 Islands Village Foundation,312193-3,898149463RC0001
1000 Cities,1452836-1,790493217RC0001
1000 Miles Leadership Institute,1471691-4,775389216
"10,000 Meals Challenge Inc.",1743169-4,726103161RC0001
10002798 CANADA FOUNDATION,1000279-8,739765329RC0001
1001 THEATRE,989766-6,752259523RC0001
1001World Foundation,1595129-1,780689626RC0001
10019577 Canada Association,1001957-7,738550490RC0001
10037516 CANADA FOUNDATION,1003751-6,735939324RC0001
10047724 CANADA SOCIETY,1004772-4,734775323RC0001
10058688 CANADA SOCIETY,1005868-8,733142293RC0001
10064190 CANADA INSTITUT,1006419-0,733099527RC0001
10067679 CANADA ASSOCIATION,1006767-9,733498299RC0001
10067857 Canada Association,1006785-7,731209722RC0001
C101 Association,1414837-1,717685200RC0001
Rhythm n Vibes 101 International,1596169-6,780509220RC0001
Integration 101 Hub,1525414-1,796903151RC0001
10104426 CANADA ASSOCIATION,1010442-6,729377291RC0001
10112402 Canada Institute,1011240-2,727467326RC0001
10126306 Canada Fondation,1012630-6,725750327RC0001
10132861 Canada Association,1013286-1,726113293RC0001
10151416 Canada Association,1015141-6,723887493RC0001
10153583 CANADA FOUNDATION,1015358-3,723695698RC0001
10178276 Canada Association,1017827-6,719845729
10196916 CANADA ASSOCIATION,1019691-6,718904691RC0001
CCST 180-102 Inc.,1669434-9,722357225RC0001
10209627 CANADA ASSOCIATION,1020962-7,716747720
10224570 CANADA FOUNDATION,1022457-0,716033097RC0001
10232050 CANADA ASSOCIATION,1023205-0,714190923RC0001
10242594 CANADA ASSOCIATION,1024259-4,712877323RC0001
10248169 Canada Fondation,1024816-9,712345123RC0001
10251488 Canada Center,1025148-8,712913698RC0001
10257800 Canada Foundation,1025780-0,712167691RC0001
10289124 Canada Centre,1028912-4,707668729RC0001
CKRK K-103 FM MOHAWK RADIO KAHNAWAKE ASSOCIATION,308505-8,886812767RC0001
104th street 103rd Ave edmonton indoor outdoor farmers market association,1590309-2,784956427RC0001
10311421 Canada Centre,1031142-1,704959725RC0001
10323519 CANADA FOUNDATION,1032351-9,703545525RC0001
1033,1224141-2,Not Available
10337781 CANADA FOUNDATION,1033778-1,701844722RC0001
10360112 CANADA INSTITUTE,1036011-2,799937883RC0001
10363987 Canada Association,1036398-7,798900486RC0001
10389919 CANADA INSTITUTE,1038991-9,795198514RC0001
10395463 Canada Center,1039546-3,795836683RC0001
10405060 Canada Society,1040506-0,793839119RC0001
10410306 CANADA ASSOCIATION,1041030-6,793331117RC0001
10427632 Canada Centre,1042763-2,792067688
10450367 CANADA ASSOCIATION,1045036-7,766701510RC0001
10456799 Canada Association,1045679-9,787314889RC0001
10485888 Canada Association,1048588-8,785481714RC0001
10485985 Canada Society,1048598-5,785470915RC0001
10487708 CANADA ASSOCIATION,1048770-8,784949117RC0001
10490857 Canada Foundation,1049085-7,785561887RC0001
10491934 Canada Society,1049193-4,785403080RC0001
10494305 CANADA CENTER,1049430-5,784504110RC0001
10503932 Canada Foundation,1050393-2,783691314RC0001
10519189 CANADA FOUNDATION,1051918-9,781809512RC0001
10530557 CANADA ASSOCIATION,1053055-7,777838483RC0001
10545490 Canada Foundation,1054549-0,778951111RC0001
10551040 CANADA INSTITUT,1055104-0,773768916RC0001
10580155 CANADA ASSOCIATION,1058015-5,775221112RC0001
LIUNA Local 1059 Optical Centre Inc.,972975-5,771668928RC0001
10591971 CANADA CENTRE,1059197-1,773930912RC0001
10602876 CANADA INSTITUTE,1060287-6,773310883RC0001
10631051 Canada Foundation,1063105-1,770343085RC0001
10638552 Canada Foundation,1063855-2,769142118RC0001
10641154 CANADA ASSOCIATION,1064115-4,769376880RC0001
10655490 CANADA ASSOCIATION,1065549-0,767373715RC0001
10663336 Canada Association,1066333-6,767085681RC0001
10664529 Canada Association,1066452-9,766946685RC0001
10667293 CANADA ASSOCIATION,1066729-3,754624716RC0001
10699918 CANADA ASSOCIATION,1069991-8,762447282RC0001
CCST 180-107 Inc.,1669431-4,785084765RC0001
10707422 CANADA ASSOCIATION,1070742-2,761868918RC0001
10713708 CANADA SOCIETY,1071370-8,760476317RC0001
10713759 CANADA ASSOCIATION,1071375-9,761894682RC0001
10722189 CANADA CENTRE,1072218-9,759874886RC0001
10727067 CANADA INSTITUT,1072706-7,760068684RC0001
10728969 Canada Association,1072896-9,759654718RC0001
10754277 CANADA ASSOCIATION,1075427-7,756800710RC0001
10765317 Canada Institute,1076531-7,756534681RC0001
10769142 CANADA INSTITUTE,1076914-2,755153111RC0001
10787671 Canada Association,1078767-1,754110088RC0001
10793574 Canada Association,1079357-4,752637314RC0001
108 HEALTH PROMOTION ASSOCIATION,944123-9,803610161RC0001
10820890 Canada Association,1082089-0,750095887RC0001
10832715 CANADA FOUNDATION,1083271-5,741200711RC0001
10839086 CANADA FOUNDATION,1083908-6,748753514RC0001
10849553 Canada Association,1084955-3,738109313RC0001
10852686 CANADA CENTRE,1085268-6,748399888RC0001
10864404 Canada Centre,1086440-4,736067885RC0001
10867802 Canada Association,1086780-2,746793488RC0001
10886718 Canada Association,1088671-8,744945882RC0001
10888648 Canada Fondation,1088864-8,744759085RC0001
10897868 Canada Association,1089786-8,742839715RC0001
10899321 Canada Association,1089932-1,743729287RC0001
10901989 CANADA SOCIETY,1090198-9,741558118RC0001
10903418 Canada Association,1090341-8,742254311RC0001
10934038 Canada Foundation,1093403-8,741353882RC0001
109354 Association Canada Inc.,118436-9,108076514RC0001
10942693 CANADA ASSOCIATION,1094269-3,740429287RC0001
10945579 CANADA ASSOCIATION,1094557-9,738948918RC0001
10946117 Canada Association,1094611-7,738962919RC0001
10951684 Canada Center,1095168-4,738359710RC0001
10952575 Canada Foundation,1095257-5,738321918RC0001
10955906 CANADA CENTRE,1095590-6,738834886RC0001
10972037 CANADA CENTRE,1097203-7,737313486RC0001
10979155 CANADA SOCIETY,1097915-5,735783318RC0001
10987638 Canada Association,1098763-8,735049918RC0001
10990671 Canada Association,1099067-1,731978714RC0001
The Remember November 11 Association,451634-6,803351097RC0001
UB David & I'11 B Jonathan Inc.,254339-7,Not Available
HOUSE OF REST 11:28,1078016-2,754803088RC0001
a11yTO Inc.,1164952-3,768789539RC0001
ARTICLE 11 CULTURAL INDUSTRY,1223360-6,720893932RC0001
ROOM 11 FOUNDATION,1640296-8,745613828RC0001
11:11 Charitable Foundation,1199030-6,739001337RC0001
Matthew 11:28 Foundation,1740768-8,763688637RC0001
11011600 CANADA FOUNDATION,1101160-0,732565312RC0001
11019406 CANADA SOCIETY,1101940-6,731865119RC0001
11019872 Canada Foundation,1101987-2,731874517RC0001
11041550 CANADA FOUNDATION,1104155-0,723149084RC0001
11050729 Canada Centre,1105072-9,728524117RC0001
11051709 Canada Association,1105170-9,728750712RC0001
11052527 Canada Association,1105252-7,729852483RC0001
11065971 Canada Foundation,1106597-1,728419482RC0001
11086391 Canada Foundation,1108639-1,725401913RC0001
11095226 CANADA FOUNDATION,1109522-6,725902886RC0001
11096320 Canada Fondation,1109632-0,725766489RC0001
111 rue de la riviere Foundation,1419648-1,714501004RC0001
111 The Old Highway Foundation,1419652-0,715800702RC0001
11106848 Canada Association,1110684-8,723582110RC0001
11114794 Canada Society,1111479-4,723085718RC0001
11130455 Canada Centre,1113045-5,719765315RC0001
11131397 CANADA ASSOCIATION,1113139-7,714074515RC0001
11136887 Canada Association,1113688-7,721937688RC0001
11158414 Canada Society,1115841-4,719883084RC0001
11168878 CANADA FOUNDATION,1116887-8,717881510RC0001
11188585 CANADA ASSOCIATION,1118858-5,717475289RC0001
11192817 Canada Foundation,1119281-7,716803689RC0001
11194844 CANADA INSTITUTE,1119484-4,714674710RC0001
11197240 CANADA ASSOCIATION,1119724-0,715450714
11205471 CANADA FOUNDATION,1120547-1,714505914RC0001
11208977 CANADA SOCIETY,1120897-7,714271111RC0001
11248006 CANADA FOUNDATION,1124800-6,710516519RC0001
11254987 Canada Society,1125498-7,710809880RC0001
11265865 CANADA ASSOCIATION,1126586-5,709791487RC0001
11270664 Canada Association,1127066-4,709455489RC0001
11296469 CANADA SOCIETY,1129646-9,706593480RC0001
11300075 Canada Association,1130007-5,705114312RC0001
11303406 CANADA ASSOCIATION,1130340-6,704774918RC0001
11316753 CANADA ASSOCIATION,1131675-3,703537514RC0001
11330462 Canada Association,1133046-2,703239483RC0001
11340824 CANADA SOCIETY,1134082-4,700987910RC0001
11341219 Canada Society,1134121-9,702029281RC0001
11343122 CANADA ASSOCIATION,1134312-2,799961073RC0001
11346652 CANADA CENTER,1134665-2,799959333RC0001
11348256 Canada Fondation,1134825-6,799838339RC0001
11349821 Canada Centre,1134982-1,799741475RC0001
11356151 CANADA ASSOCIATION,1135615-1,799398870RC0001
11359886 Canada Foundation,1135988-6,799352471RC0001
11362950 CANADA CENTRE,1136295-0,799005277RC0001
11365355 CANADA ASSOCIATION,1136535-5,798770079RC0001
11365401 CANADA INSTITUTE,1136540-1,798777678RC0001
11365452 CANADA ASSOCIATION,1136545-2,797905536RC0001
11365614 CANADA CENTRE,1136561-4,797675337RC0001
11371304 CANADA FOUNDATION,1137130-4,798001871RC0001
11376187 CANADA ASSOCIATION,1137618-7,797569670RC0001
11388274 Canada Centre,1138827-4,795385137RC0001
11391747 Canada Foundation,1139174-7,795755479RC0001
11392468 Canada Association,1139246-8,794901132RC0001
11437119 Canada Association,1143711-9,790179931RC0001
11445332 CANADA FONDATION,1144533-2,788265536RC0001
11448170 Canada Association,1144817-0,788867935RC0001
11450891 Canada Center,1145089-1,789320470RC0001
11452924 Canada Association,1145292-4,789146677RC0001
11456326 Canada Association,1145632-6,787649730RC0001
11471279 CANADA ASSOCIATION,1147127-9,785727934RC0001
11472445 CANADA SOCIETY,1147244-5,785683533RC0001
11475541 Canada Foundation,1147554-1,786169672RC0001
11475860 Canada Institut,1147586-0,786012278RC0001
11476378 CANADA ASSOCIATION,1147637-8,785220336RC0001
