Corporate Name,Corporation Number,Business Number
0 Barriers Foundation,1186888-8,749949871RC0001
Zer0 Doubt,1483310-4,766717813
r0g_agency for open culture and critical transformation canada inc.,1553488-7,714146818RC0001
C0nsultAction Canada Inc.,1707752-1,790399638RC0001
Expedition 0,1715333-3,777238635RC0001
01Tree Network,1303452-6,798018602RC0001
021 Entrepreneurs Group,1243083-5,705499135RC0001
LONDON027 Community,1505927-5,712150549RC0001
Cafe059 Inc.,1706297-4,791363039RC0001
Breakthrough T1D Canada,047405-3,118976604RC0001
The 1st Hussars Cavalry Fund,389332-4,874784812RC0001
Alpha-1 Antitrypsin Deficiency Canada Inc.,432042-5,822647871RC0001
Mission 1 World,447829-1,857468623RC0001
T1 Diabetes Think Tank Network Inc.,876627-4,829491570RC0001
1st Humanity Fellowship,942493-8,805912763RC0001
1HEART HEALING ARTS,957622-3,789443892RC0001
3rd & 1 Football Inc.,1059025-8,774776280RC0001
1 Resource Services Corporation,1088167-8,741454086RC0001
1MT Cares,1110865-4,723562716RC0001
WEARENO1,1214083-7,728201138RC0001
Care4ASH1L,1283737-4,770690261RC0001
Humanity NO 1,1288305-8,767340060RC0001
1st Ottawa BPSA - ahlulbayt scouting association,1297425-8,761725944RC0001
1Yard,1310062-6,793895301RC0001
Rivertowne Safety 1st,1380553-1,744773201RC0001
Rodeo1,1381629-0,742523806RC0001
BMIUC LOCAL 1 HOLDING CORPORATION,1385594-5,742156508RC0001
1unchained Inc,1394757-2,733724108RC0001
Tier 1 Sports Club Canada,1410991-1,721689701RC0001
Usher 1F Collaborative Canada,1418237-5,716947502RC0001
1 UMMAH ORPHANS,1484837-3,727727547
The 1Movement Foundation,1539640-9,786924357RC0001
W1derus Foundation,1546957-1,719007619RC0001
1UMMAH EDUCATION AND RESOURCE CENTER,1553705-3,714075611RC0001
THE LORD'S CHOSEN CHARISTMATIC RENEWAL MINISTRIES. POWER AS OF OLD 1.,1574530-6,760177956RC0001
1s1 Deaf-Led Theatre Inc.,1618032-9,708483557RC0001
Ésaïe 55-1,1641832-5,707038956RC0001
Inclusive GTHA (No. 1) Not For Profit,1680646-5,713205227RC0001
1-R32 Foundation,1008784-0,731148292RC0001
FD1,1200981-1,737595538RC0001
Section 1,1523371-2,736845017RC0001
A1 Lighthouse for adults living with Autism Center,1686012-5,708411228RC0001
